domainlength,HW-baseline,HW-elementwise,HW-pointwise,SW-baseline,SW-elementwise,SW-pointwise
32,179592.15743638919,162786.4979627228,925377.0190335601,269562.21411663643,179875.32391611065,907544.0321572
64,360722.9112622105,325381.8152238017,1833784.616642621,581073.3514313471,441011.29402360786,2376973.1553215124
128,720309.0576107313,650318.9360523426,3680276.020701553,1206744.5708547072,994746.4965748526,5601750.547045952
256,1434406.7148372557,1298661.7704650806,7258190.915579759,2460095.5208964,2129765.9753246647,10888983.411314335
512,2845361.283080104,2581269.6620150036,14198361.09034634,4957853.4045250295,4411492.311599795,21787234.042553194
1024,5644174.488649653,5160210.943812161,28174056.932367343,9799887.071613824,8778697.956907934,43500424.80883603
2048,11223363.015212875,10270709.421169296,54620617.05343655,19583937.000466026,17547617.61959027,85726245.2909167
4096,22126666.538755246,20338494.92170845,109254344.45335625,39130455.62304439,35098242.51720208,171887786.2230978
8192,44156726.19272212,40212647.962295085,215686790.76380295,78212343.84203514,69929831.27826515,342045929.0187892
16384,87903362.150962,80275948.6213993,413888929.323244,156319470.28460768,139758256.08598515,581508594.2790813
32768,173544155.40279636,160460697.7063053,697629363.1899409,299549323.0704537,279529624.9390027,838699769.6442282
65536,334910722.49874794,312401237.16532683,882865649.1223356,568218076.9505258,484658448.0221267,1197989224.8876157
131072,393955652.5911728,594411971.5316231,1122086137.7986572,857066258.6395178,893098302.6825927,1478033378.4393325
262144,483822088.22932374,787461607.5438888,1339129636.0846324,966636183.9582288,1347011867.2418153,1634518019.7032049
524288,543242828.7818565,923116200.5876992,1545352858.6076832,1071926854.71264,1491520216.211545,1735509915.3289278
1048576,559879542.5178605,1026486020.8317019,1575869971.971536,1139277282.2736523,1627327814.4684763,1781989362.0359907
2097152,582445956.8499218,1071908774.2503427,1662915004.7972848,1172582457.8275528,1708181899.6342783,1803582823.7742631
4194304,747248173.8915466,1163788119.3953886,2122671960.6270907,1180212473.518115,1749062355.623757,1809191961.4550128
8388608,751542799.8197727,1293096783.058321,1800758422.1319842,1522631009.2048488,2277068907.032346,1814714389.320466
16777216,753338093.0537288,1431325987.8517828,2150293823.996232,1528731434.403076,2282900172.555511,2338900801.5177875
33554432,754472147.2418728,1419269141.2695055,2156087298.779216,1533352617.6732755,2285584126.3137817,2341298184.80265
67108864,755880690.2500472,1426339891.6529365,2159625928.911671,1534541230.489205,2286986143.580586,2346168454.320435
134217728,756168994.4055392,1421018970.160688,2160668913.9806757,1535297782.1194603,2287937378.117798,2346964352.53673
