domainlength,HW-baseline,HW-elementwise,HW-pointwise,SW-baseline,SW-elementwise,SW-pointwise
32,142321.5310942504,98880.34730480767,1067983.876483849,205290.07035242586,144101.6402097926,347209.03694291285
64,284428.0109664832,198264.3169795642,1631160.253541466,451867.3063469535,314405.1755397456,657972.5270337864
128,562196.3013359705,398730.91437899356,3197446.8407343654,966063.455923381,717585.325380096,1606133.4448282514
256,1137762.653118969,796543.9333686044,8578226.290457707,1950253.315702872,1567844.490615547,3449739.7355900137
512,2371677.3144031037,1589050.7492536986,17073497.963666588,3969607.6911149016,3251826.242124303,6945857.710618745
1024,4719165.852597077,3207070.5890749632,32941404.579499207,7997313.414723575,6563367.826038621,14061877.755043188
2048,9604971.10961101,6427952.185121736,61493191.62460323,15947795.88690147,13236429.929247394,28181805.672138818
4096,18995897.988799833,12737943.966373349,124900896.50545833,31967782.6639534,26461657.840268742,54157328.81802405
8192,38067976.057895035,25499674.723460995,247092060.6739515,63773802.39160943,53250822.29358156,78813942.52508634
16384,75560805.4049311,51087132.96220189,470028005.93718815,127037295.49507637,104986944.82126585,115197365.90601814
32768,149215059.77046973,101732381.27257381,668796113.9984803,251795216.89889932,207391094.33062798,145259816.90072054
65536,291852221.4564676,198901332.54534712,888340679.0614761,491462253.18525076,402083962.68258476,153968863.68810225
131072,526055557.0170268,387229054.6744773,1036793876.3735697,909846297.2188661,751094505.6960139,157450085.11415878
262144,581375595.83792,631533809.0739689,1100509070.1495566,880601302.7961702,1412760432.4239693,166592419.12640834
524288,756394987.8826673,717260480.4544911,1180103230.19997,1082191017.3819172,1692728661.8747525,167648770.50662258
1048576,838937982.4152005,566181161.2597427,1207855270.639811,1140316147.0735705,1937419511.161744,170046153.19792646
2097152,889505696.3420205,614305216.1484053,1230531636.8159003,1190079418.0081568,2164127424.9838467,170926784.75050026
4194304,908838649.4962472,633471586.420194,1240527467.5476031,1224392665.3532798,2252822000.279838,171366048.77776796
8388608,922551944.7919222,714311039.6203148,1243463212.1446145,1240740308.9534338,2304087893.9952717,171687317.5903299
16777216,927804807.9103231,797248421.3740997,1245201024.2327533,1247418389.6180043,2339319853.6976643,171871642.4150601
33554432,930152990.656949,843894960.8991091,1246176803.7465787,1252229626.075806,2361208948.1869297,171858966.2166315
67108864,931564898.6663578,846842846.200908,1247529696.9689152,1254102888.2702174,2368860273.6193104,171852364.77056515
134217728,930091114.8011675,864292649.0800226,1247457808.5934958,1255245268.9296274,2371729746.876998,171869199.4604571
