radius,H100,A100,V100,MI250X GCD,MI100
0,0.09661549999999999,0.2033335,0.33382100000000003,0.205935,0.269878
1,0.09726850000000001,0.20411,0.3401225,0.209867,0.27192649999999996
2,0.09692500000000001,0.20367499999999994,0.339506,0.211149,0.273655
4,0.0972915,0.2049355,0.340615,0.213602,0.273134
8,0.099206,0.21034999999999998,0.3510135,0.21597650000000002,0.27923549999999997
16,0.1576815,0.3436905,0.43104549999999997,0.2640895,0.3229025
32,0.28598900000000005,0.533544,0.641186,0.45265900000000003,0.537582
64,0.5427405000000001,1.2098499999999999,1.20153,0.8639625,0.9625509999999999
128,1.0556,2.3532599999999997,2.3133749999999997,1.686915,1.7625000000000002
256,2.07754,3.5929300000000004,4.54247,3.34554,3.46284
512,4.140605,7.128905,8.888110000000001,6.660275,6.861075
1024,8.263395,14.2177,17.7949,13.28705,13.66985
