radius,H100,A100,V100,MI250X GCD,MI100
0,0.097677,0.2033335,0.3343165,0.207463,0.276285
1,0.10015,0.208249,0.344408,0.21322449999999998,0.27761699999999995
2,0.099886,0.21553899999999998,0.34622200000000003,0.214086,0.2785595
4,0.101959,0.22558849999999997,0.375698,0.224757,0.282466
8,0.11749599999999999,0.22992899999999994,0.41434249999999995,0.229391,0.2888535
16,0.1601355,0.349113,0.448049,0.28102150000000004,0.32843799999999995
32,0.28598900000000005,0.632196,0.641186,0.4693225,0.5500499999999999
64,0.5427405000000001,1.2098499999999999,1.22436,0.8902605,1.003245
128,1.064775,2.368225,2.40656,1.738155,1.84769
256,2.103015,4.687105,4.756325,3.432,3.578665
512,4.17953,7.229905,9.381195,6.826005,7.060995
1024,8.326635,14.4138,18.49105,13.61055,14.2122
