radius,H100,A100,V100,MI250X GCD,MI100
0,0.097677,0.2033335,0.3343165,0.207463,0.269878
1,0.10015,0.208249,0.344408,0.21251,0.27192649999999996
2,0.099886,0.213627,0.34622200000000003,0.2125755,0.273655
4,0.101959,0.21720199999999995,0.375698,0.213602,0.273134
8,0.11749599999999999,0.2297815,0.3875995,0.21597650000000002,0.27923549999999997
16,0.1601355,0.349113,0.448049,0.2640895,0.3229025
32,0.28598900000000005,0.533544,0.641186,0.45265900000000003,0.537582
64,0.5427405000000001,1.2098499999999999,1.20153,0.8639625,0.9625509999999999
128,1.0614,2.368225,2.3133749999999997,1.686915,1.7625000000000002
256,2.08938,3.64442,4.54247,3.34554,3.46284
512,4.145745,7.164994999999999,8.888110000000001,6.660275,6.861075
1024,8.263395,14.2177,17.7949,13.28705,13.66985
