radius,H100,A100,V100,MI250X GCD,MI100
0,0.063345,0.111185,0.177073,0.1189355,0.15128
1,0.06654,0.10963549999999994,0.17758000000000002,0.1224325,0.15422
2,0.06690499999999999,0.11061549999999995,0.1801345,0.1304985,0.155322
4,0.071218,0.143471,0.195336,0.138604,0.156735
8,0.094517,0.20315,0.2283155,0.17282999999999998,0.1913699999999999
16,0.12672650000000002,0.27908,0.3162555,0.2798125,0.28475599999999995
32,0.195386,0.42191499999999993,0.5238929999999999,0.480622,0.4794475
64,0.335653,0.732186,0.9599305,0.8729535,0.874701
128,0.616476,1.3481049999999999,1.838305,1.682995,1.675745
256,1.18433,2.082415,3.864205,3.313465,3.257835
512,2.313605,3.9010749999999996,7.12411,6.567285,6.442005
1024,4.668115,7.803515,14.1564,13.0851,12.8678
