radius,H100,A100,V100,MI250X GCD,MI100
0,0.0525775,0.106871,0.1708915,0.107999,0.1446875
1,0.0522565,0.107181,0.1713555,0.1196365,0.150443
2,0.052346000000000004,0.10856099999999999,0.172317,0.1304985,0.155322
4,0.053900500000000004,0.112635,0.1744915,0.138604,0.156735
8,0.0704275,0.137221,0.1811675,0.17282999999999998,0.1913699999999999
16,0.118514,0.2078765,0.2712135,0.2798125,0.28475599999999995
32,0.195386,0.42191499999999993,0.497916,0.480622,0.4794475
64,0.335653,0.732186,0.9599305,0.8729535,0.874701
128,0.616476,1.3481049999999999,1.838305,1.682995,1.675745
256,1.18433,2.082415,3.864205,3.313465,3.257835
512,2.313605,3.9010749999999996,7.12411,6.567285,6.442005
1024,4.668115,7.803515,14.1564,13.0851,12.8678
