problemsize,H100,A100,V100,MI250X GCD,MI100
32,8743770.0,7162845.0,9325375.0,6393610.0,5155675.0
64,17696700.0,14398200.0,19117300.0,12891500.0,10905650.0
128,35256850.0,27075600.0,37702500.0,25704100.0,20458750.0
256,69816700.0,57399100.0,74908550.0,52117300.0,40624050.0
512,136515500.0,114798000.0,149971000.0,103601500.0,80699800.0
1024,284721500.0,228444000.0,300491500.0,201288000.0,172427000.0
2048,565316000.0,456633000.0,605335500.0,403169500.0,327588000.0
4096,1133370000.0,903147500.0,1188625000.0,751146500.0,600763000.0
8192,2251175000.0,1691690000.0,2382780000.0,1414550000.0,1055400000.0
16384,4426915000.0,3395650000.0,4601275000.0,2820575000.0,2111410000.0
32768,8838300000.0,6923670000.0,9551270000.0,5747760000.0,4094720000.0
65536,17820800000.0,13443300000.0,18986400000.0,11272600000.0,8050610000.0
131072,35456050000.0,26831500000.0,36260300000.0,22220300000.0,15067500000.0
262144,70864100000.0,54274100000.0,70916900000.0,41140000000.0,30873200000.0
524288,139531000000.0,101705000000.0,139105000000.0,73674800000.0,43882700000.0
1048576,271952000000.0,203508500000.0,260289500000.0,140334000000.0,85489850000.0
2097152,503216000000.0,378206000000.0,461115000000.0,264275000000.0,168229500000.0
4194304,920762500000.0,650280000000.0,470134000000.0,428799500000.0,330357500000.0
8388608,1538140000000.0,1022345000000.0,580486500000.0,626904500000.0,496470000000.0
16777216,2011660000000.0,1012950000000.0,667577000000.0,889130000000.0,648432000000.0
33554432,1854300000000.0,1140900000000.0,722980500000.0,1006365000000.0,789469500000.0
67108864,2095005000000.0,1219875000000.0,755252000000.0,1120005000000.0,890664000000.0
134217728,2237210000000.0,1028760000000.0,773301000000.0,1252410000000.0,939596000000.0
268435456,2319690000000.0,1291675000000.0,781843000000.0,1272380000000.0,947906000000.0
536870912,,1298355000000.0,785394000000.0,1232950000000.0,966146000000.0
1073741824,,1329060000000.0,788208500000.0,1232830000000.0,963676500000.0
2147483648,,1344530000000.0,788515000000.0,1253070000000.0,974457000000.0
4294967296,,1348645000000.0,789579000000.0,1236830000000.0,972503500000.0
