radius,H100,A100,V100,MI250X GCD,MI100
1,,0.22349049999999998,0.2796185,0.6318980000000001,0.7851425
2,,0.25939049999999997,0.309727,0.818279,0.9559785000000001
4,,0.31792549999999997,0.3859985,0.951021,1.089445
8,,0.4426955,0.5432859999999999,1.190465,1.37236
16,,0.7015115000000001,0.8187800000000001,1.706995,1.95797
32,,1.21719,1.2973249999999998,2.7685649999999997,3.1694999999999998
64,,1.74937,2.30997,4.934345,5.60685
128,,3.34044,4.498425,9.296895,10.501550000000002
256,,6.48896,8.797899999999998,18.029049999999998,20.285899999999998
512,,12.76805,17.3875,35.4772,39.91655
1024,,25.416649999999997,34.5398,70.36225,79.14045
