use_double, mx, my, mz, step_number, modstep, t_step, t_step (exact)
1, 70, 70, 70, 0, 0, 0, 0x0p+0
1, 70, 70, 70, 50, 0, 0.245429, 0x1.f6a34e6c406dbp-3
1, 70, 70, 70, 100, 0, 0.490856, 0x1.f6a2f2d8433f2p-2
use_double, mx, my, mz, step_number, modstep, t_step, t_step (exact)
1, 70, 70, 70, 0, 0, 0, 0x0p+0
1, 70, 70, 70, 50, 0, 0.245429, 0x1.f6a38cbbde60dp-3
1, 70, 70, 70, 100, 0, 0.49086, 0x1.f6a3f15ad7bcfp-2
use_double, mx, my, mz, step_number, modstep, t_step, t_step (exact)
1, 70, 70, 70, 0, 0, 0, 0x0p+0
1, 70, 70, 70, 50, 0, 0.245429, 0x1.f6a38cbbde60dp-3
1, 70, 70, 70, 100, 0, 0.49086, 0x1.f6a3f15ad7bcfp-2
use_double, mx, my, mz, step_number, modstep, t_step, t_step (exact)
1, 70, 70, 70, 0, 0, 0, 0x0p+0
1, 70, 70, 70, 50, 0, 0.245427, 0x1.f6a2a7a71ee12p-3
1, 70, 70, 70, 100, 0, 0.490851, 0x1.f6a1b18e144p-2
use_double, mx, my, mz, step_number, modstep, t_step, t_step (exact)
1, 70, 70, 70, 0, 0, 0, 0x0p+0
1, 70, 70, 70, 50, 0, 0.245427, 0x1.f6a2a7a71ee12p-3
1, 70, 70, 70, 100, 0, 0.490851, 0x1.f6a1b18e144p-2
use_double, mx, my, mz, step_number, modstep, t_step, t_step (exact)
1, 70, 70, 70, 0, 0, 0, 0x0p+0
1, 70, 70, 70, 50, 0, 0.245427, 0x1.f6a2a7a71ee12p-3
1, 70, 70, 70, 100, 0, 0.490851, 0x1.f6a1b18e144p-2
use_double, mx, my, mz, step_number, modstep, t_step, t_step (exact)
1, 70, 70, 70, 0, 0, 0, 0x0p+0
1, 70, 70, 70, 50, 0, 0.245427, 0x1.f6a2a7a71ee12p-3
1, 70, 70, 70, 100, 0, 0.490851, 0x1.f6a1b18e144p-2
use_double, mx, my, mz, step_number, modstep, t_step, t_step (exact)
1, 70, 70, 70, 0, 0, 0, 0x0p+0
1, 70, 70, 70, 50, 0, 0.245429, 0x1.f6a34e6c406dbp-3
1, 70, 70, 70, 100, 0, 0.490856, 0x1.f6a2f2d8433f2p-2
